CODCARRERA,EGRESO,LUGAR_LISTA,PREFERENCIA,DEPENDENCIA,COD_REGION_COLEGIO,PTJE_LENG,PTJE_MAT,PTJE_CIENCIAS,PTJE_HIST,PTJE_RANKING,RETENCION_AL_PRIMER_AÑO,RETENCION_AL_TERCER_AÑO,EXTRANJERO,CIUDAD_SEDE,GRATUIDAD,ETNIA,SEXO_(1F),TIPO_INGRESO_IEP-Excepción Lista espera Rep,TIPO_INGRESO_IRP-Lista de selección,TIPO_INGRESO_Otro ingreso,TIPO_COLEGIO_H1,TIPO_COLEGIO_H2,TIPO_COLEGIO_ND,TIPO_COLEGIO_T1,TIPO_COLEGIO_T2,TIPO_COLEGIO_T3,TIPO_COLEGIO_T5,EDAD_INGRESO
8103,0,3.0,4.0,2.0,2.0,598.0,686.0,659.0,0.0,740.0,1,1,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,19
8103,0,4.0,1.0,2.0,2.0,628.0,675.0,593.0,0.0,765.0,1,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8103,0,5.0,1.0,3.0,2.0,466.0,403.0,0.0,435.0,595.0,0,0,0,0,0,0,1,False,False,True,False,False,False,True,False,False,False,18
8103,0,5.0,1.0,2.0,2.0,663.0,675.0,692.0,0.0,718.0,1,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8103,0,7.0,1.0,2.0,2.0,608.0,678.0,649.0,0.0,716.0,1,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,19
8103,0,8.0,1.0,3.0,15.0,488.0,657.0,603.0,0.0,722.0,1,1,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,22
8103,0,9.0,1.0,2.0,2.0,676.0,631.0,631.0,0.0,668.0,1,0,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8103,0,10.0,2.0,2.0,4.0,503.0,575.0,545.0,0.0,814.0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8103,0,12.0,1.0,3.0,2.0,547.0,612.0,537.0,0.0,749.0,1,0,0,0,0,1,0,False,True,False,False,False,False,False,True,False,False,18
8103,0,13.0,4.0,2.0,2.0,639.0,671.0,622.0,0.0,618.0,1,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,19
8103,0,14.0,1.0,2.0,2.0,459.0,631.0,537.0,0.0,744.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,24
8103,0,15.0,1.0,3.0,2.0,563.0,594.0,583.0,0.0,716.0,1,1,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,19
8103,0,17.0,1.0,3.0,2.0,473.0,603.0,588.0,0.0,667.0,1,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8103,0,21.0,1.0,2.0,2.0,524.0,616.0,559.0,0.0,600.0,0,0,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8103,0,22.0,1.0,2.0,2.0,598.0,584.0,593.0,0.0,602.0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8103,0,24.0,1.0,3.0,2.0,608.0,598.0,593.0,0.0,572.0,1,1,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,19
8103,0,26.0,1.0,3.0,2.0,502.0,567.0,552.0,539.0,635.0,1,0,0,1,0,0,0,False,True,False,False,False,False,False,True,False,False,22
8103,0,27.0,3.0,3.0,15.0,517.0,589.0,537.0,0.0,590.0,1,1,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,18
